Method,NewUserName,MovementRadius,RequiredThroughput,ActivationTime,MovementDistance,ConnectedAP,FinalSystemThroughput,InitialSystemThroughput,ImprovementRate,PositionVarianceX,PositionVarianceY,TotalPositionVariance
myargo_entrance,User6,14.95,30.00,12.00,0.00,AP0,572.77,515.69,11.07,1389.38,1523.61,2912.99
myargo_entrance,User7,14.95,30.00,12.00,0.00,AP0,572.77,515.69,11.07,1389.38,1523.61,2912.99
myargo_entrance,User8,14.95,30.00,15.00,7.50,AP0,572.77,515.69,11.07,1389.38,1523.61,2912.99
myargo_entrance,User9,14.95,30.00,15.00,7.80,AP0,572.77,515.69,11.07,1389.38,1523.61,2912.99
myargo_entrance,User0,14.95,30.00,3.00,7.65,AP0,572.77,515.69,11.07,1365.61,1518.41,2884.02
myargo_entrance,User1,14.95,30.00,3.00,0.00,AP0,572.77,515.69,11.07,1365.61,1518.41,2884.02
myargo_entrance,User2,14.95,30.00,6.00,8.25,AP0,572.77,515.69,11.07,1365.61,1518.41,2884.02
myargo_entrance,User3,14.95,30.00,6.00,0.00,AP0,572.77,515.69,11.07,1365.61,1518.41,2884.02
myargo_entrance,User4,14.95,30.00,9.00,0.00,AP0,572.77,515.69,11.07,1365.61,1518.41,2884.02
myargo_entrance,User5,14.95,30.00,9.00,8.25,AP0,572.77,515.69,11.07,1365.61,1518.41,2884.02
myargo_entrance,User6,14.95,30.00,12.00,6.90,AP0,572.77,515.69,11.07,1365.61,1518.41,2884.02
myargo_entrance,User7,14.95,30.00,12.00,7.95,AP0,572.77,515.69,11.07,1365.61,1518.41,2884.02
myargo_entrance,User8,14.95,30.00,15.00,0.00,AP0,572.77,515.69,11.07,1365.61,1518.41,2884.02
myargo_entrance,User9,14.95,30.00,15.00,0.00,AP0,572.77,515.69,11.07,1365.61,1518.41,2884.02
myargo_entrance,User0,14.95,30.00,3.00,7.50,AP0,572.77,515.69,11.07,1377.25,1521.16,2898.41
myargo_entrance,User1,14.95,30.00,3.00,0.00,AP0,572.77,515.69,11.07,1377.25,1521.16,2898.41
myargo_entrance,User2,14.95,30.00,6.00,0.00,AP0,572.77,515.69,11.07,1377.25,1521.16,2898.41
myargo_entrance,User3,14.95,30.00,6.00,7.95,AP0,572.77,515.69,11.07,1377.25,1521.16,2898.41
myargo_entrance,User4,14.95,30.00,9.00,7.35,AP0,572.77,515.69,11.07,1377.25,1521.16,2898.41
myargo_entrance,User5,14.95,30.00,9.00,7.95,AP0,572.77,515.69,11.07,1377.25,1521.16,2898.41
myargo_entrance,User6,14.95,30.00,12.00,0.00,AP0,572.77,515.69,11.07,1377.25,1521.16,2898.41
myargo_entrance,User7,14.95,30.00,12.00,0.00,AP0,572.77,515.69,11.07,1377.25,1521.16,2898.41
myargo_entrance,User8,14.95,30.00,15.00,7.95,AP0,572.77,515.69,11.07,1377.25,1521.16,2898.41
myargo_entrance,User9,14.95,30.00,15.00,7.50,AP0,572.77,515.69,11.07,1377.25,1521.16,2898.41
myargo_entrance,User0,14.95,30.00,3.00,7.80,AP0,572.77,515.69,11.07,1378.40,1521.00,2899.40
myargo_entrance,User1,14.95,30.00,3.00,7.95,AP0,572.77,515.69,11.07,1378.40,1521.00,2899.40
myargo_entrance,User2,14.95,30.00,6.00,0.00,AP0,572.77,515.69,11.07,1378.40,1521.00,2899.40
myargo_entrance,User3,14.95,30.00,6.00,0.00,AP0,572.77,515.69,11.07,1378.40,1521.00,2899.40
myargo_entrance,User4,14.95,30.00,9.00,0.00,AP0,572.77,515.69,11.07,1378.40,1521.00,2899.40
myargo_entrance,User5,14.95,30.00,9.00,7.35,AP0,572.77,515.69,11.07,1378.40,1521.00,2899.40
myargo_entrance,User6,14.95,30.00,12.00,0.00,AP0,572.77,515.69,11.07,1378.40,1521.00,2899.40
myargo_entrance,User7,14.95,30.00,12.00,7.50,AP0,572.77,515.69,11.07,1378.40,1521.00,2899.40
myargo_entrance,User8,14.95,30.00,15.00,8.25,AP0,572.77,515.69,11.07,1378.40,1521.00,2899.40
myargo_entrance,User9,14.95,30.00,15.00,6.90,AP0,572.77,515.69,11.07,1378.40,1521.00,2899.40
myargo_entrance,User0,14.95,30.00,3.00,7.05,AP0,572.77,515.69,11.07,1388.89,1524.08,2912.97
myargo_entrance,User1,14.95,30.00,3.00,0.00,AP0,572.77,515.69,11.07,1388.89,1524.08,2912.97
myargo_entrance,User2,14.95,30.00,6.00,7.95,AP0,572.77,515.69,11.07,1388.89,1524.08,2912.97
myargo_entrance,User3,14.95,30.00,6.00,7.95,AP0,572.77,515.69,11.07,1388.89,1524.08,2912.97
myargo_entrance,User4,14.95,30.00,9.00,0.00,AP0,572.77,515.69,11.07,1388.89,1524.08,2912.97
myargo_entrance,User5,14.95,30.00,9.00,7.50,AP0,572.77,515.69,11.07,1388.89,1524.08,2912.97
myargo_entrance,User6,14.95,30.00,12.00,7.95,AP0,572.77,515.69,11.07,1388.89,1524.08,2912.97
myargo_entrance,User7,14.95,30.00,12.00,7.50,AP0,572.77,515.69,11.07,1388.89,1524.08,2912.97
myargo_entrance,User8,14.95,30.00,15.00,0.00,AP0,572.77,515.69,11.07,1388.89,1524.08,2912.97
myargo_entrance,User9,14.95,30.00,15.00,8.10,AP0,572.77,515.69,11.07,1388.89,1524.08,2912.97
myargo_entrance,User0,14.95,30.00,3.00,0.00,AP0,572.77,515.69,11.07,1365.75,1518.22,2883.97
myargo_entrance,User1,14.95,30.00,3.00,7.65,AP0,572.77,515.69,11.07,1365.75,1518.22,2883.97
myargo_entrance,User2,14.95,30.00,6.00,7.35,AP0,572.77,515.69,11.07,1365.75,1518.22,2883.97
myargo_entrance,User3,14.95,30.00,6.00,0.00,AP0,572.77,515.69,11.07,1365.75,1518.22,2883.97
myargo_entrance,User4,14.95,30.00,9.00,8.40,AP0,572.77,515.69,11.07,1365.75,1518.22,2883.97
myargo_entrance,User5,14.95,30.00,9.00,6.90,AP0,572.77,515.69,11.07,1365.75,1518.22,2883.97
myargo_entrance,User6,14.95,30.00,12.00,0.00,AP0,572.77,515.69,11.07,1365.75,1518.22,2883.97
myargo_entrance,User7,14.95,30.00,12.00,8.10,AP0,572.77,515.69,11.07,1365.75,1518.22,2883.97
myargo_entrance,User8,14.95,30.00,15.00,0.00,AP0,572.77,515.69,11.07,1365.75,1518.22,2883.97
myargo_entrance,User9,14.95,30.00,15.00,0.00,AP0,572.77,515.69,11.07,1365.75,1518.22,2883.97
myargo_entrance,User0,14.95,30.00,3.00,0.00,AP0,572.77,515.69,11.07,1351.49,1515.30,2866.80
myargo_entrance,User1,14.95,30.00,3.00,0.00,AP0,572.77,515.69,11.07,1351.49,1515.30,2866.80
myargo_entrance,User2,14.95,30.00,6.00,0.00,AP0,572.77,515.69,11.07,1351.49,1515.30,2866.80
myargo_entrance,User3,14.95,30.00,6.00,0.00,AP0,572.77,515.69,11.07,1351.49,1515.30,2866.80
myargo_entrance,User4,14.95,30.00,9.00,8.40,AP0,572.77,515.69,11.07,1351.49,1515.30,2866.80
myargo_entrance,User5,14.95,30.00,9.00,0.00,AP0,572.77,515.69,11.07,1351.49,1515.30,2866.80
myargo_entrance,User6,14.95,30.00,12.00,7.35,AP0,572.77,515.69,11.07,1351.49,1515.30,2866.80
myargo_entrance,User7,14.95,30.00,12.00,7.50,AP0,572.77,515.69,11.07,1351.49,1515.30,2866.80
myargo_entrance,User8,14.95,30.00,15.00,7.35,AP0,572.77,515.69,11.07,1351.49,1515.30,2866.80
myargo_entrance,User9,14.95,30.00,15.00,0.00,AP0,572.77,515.69,11.07,1351.49,1515.30,2866.80
myargo_entrance,User0,14.95,30.00,3.00,8.10,AP0,572.77,515.69,11.07,1389.86,1524.30,2914.15
myargo_entrance,User1,14.95,30.00,3.00,0.00,AP0,572.77,515.69,11.07,1389.86,1524.30,2914.15
myargo_entrance,User2,14.95,30.00,6.00,7.95,AP0,572.77,515.69,11.07,1389.86,1524.30,2914.15
myargo_entrance,User3,14.95,30.00,6.00,7.95,AP0,572.77,515.69,11.07,1389.86,1524.30,2914.15
myargo_entrance,User4,14.95,30.00,9.00,0.00,AP0,572.77,515.69,11.07,1389.86,1524.30,2914.15
myargo_entrance,User5,14.95,30.00,9.00,7.05,AP0,572.77,515.69,11.07,1389.86,1524.30,2914.15
myargo_entrance,User6,14.95,30.00,12.00,8.25,AP0,572.77,515.69,11.07,1389.86,1524.30,2914.15
myargo_entrance,User7,14.95,30.00,12.00,7.65,AP0,572.77,515.69,11.07,1389.86,1524.30,2914.15
myargo_entrance,User8,14.95,30.00,15.00,0.00,AP0,572.77,515.69,11.07,1389.86,1524.30,2914.15
myargo_entrance,User9,14.95,30.00,15.00,7.95,AP0,572.77,515.69,11.07,1389.86,1524.30,2914.15
myargo_entrance,User0,14.95,30.00,3.00,0.00,AP0,572.77,515.69,11.07,1365.76,1518.69,2884.44
myargo_entrance,User1,14.95,30.00,3.00,0.00,AP0,572.77,515.69,11.07,1365.76,1518.69,2884.44
myargo_entrance,User2,14.95,30.00,6.00,7.05,AP0,572.77,515.69,11.07,1365.76,1518.69,2884.44
myargo_entrance,User3,14.95,30.00,6.00,8.25,AP0,572.77,515.69,11.07,1365.76,1518.69,2884.44
myargo_entrance,User4,14.95,30.00,9.00,0.00,AP0,572.77,515.69,11.07,1365.76,1518.69,2884.44
myargo_entrance,User5,14.95,30.00,9.00,8.40,AP0,572.77,515.69,11.07,1365.76,1518.69,2884.44
myargo_entrance,User6,14.95,30.00,12.00,8.25,AP0,572.77,515.69,11.07,1365.76,1518.69,2884.44
myargo_entrance,User7,14.95,30.00,12.00,0.00,AP0,572.77,515.69,11.07,1365.76,1518.69,2884.44
myargo_entrance,User8,14.95,30.00,15.00,7.95,AP0,572.77,515.69,11.07,1365.76,1518.69,2884.44
myargo_entrance,User9,14.95,30.00,15.00,0.00,AP0,572.77,515.69,11.07,1365.76,1518.69,2884.44
